Date,Open,High,Low,Close,Adj Close,Volume
2020-04-29,32311.0390625,32897.58984375,32171.650390625,32720.16015625,32720.16015625,16000
2020-04-30,33381.19140625,33887.25,33354.9296875,33717.62109375,33717.62109375,21100
2020-05-04,32748.140625,32748.140625,31632.01953125,31715.349609375,31715.349609375,18300
2020-05-05,32182.900390625,32264.0,31403.5703125,31453.509765625,31453.509765625,19200
2020-05-06,31577.630859375,31970.83984375,31158.75,31685.75,31685.75,19200
2020-05-07,31677.689453125,31705.25,31362.869140625,31443.380859375,31443.380859375,19900
2020-05-08,32083.3203125,32088.509765625,31598.0,31642.69921875,31642.69921875,15900
2020-05-11,32030.33984375,32301.580078125,31500.869140625,31561.220703125,31561.220703125,18100
2020-05-12,31342.9296875,31536.890625,30844.66015625,31371.119140625,31371.119140625,23100
2020-05-13,32841.87109375,32845.48046875,31901.919921875,32008.609375,32008.609375,18400
2020-05-14,31466.330078125,31630.939453125,31052.650390625,31122.890625,31122.890625,15200
2020-05-15,31296.279296875,31296.279296875,30770.48046875,31097.73046875,31097.73046875,13000
2020-05-18,31248.259765625,31248.259765625,29968.44921875,30028.98046875,30028.98046875,19500
2020-05-19,30450.740234375,30739.9609375,30116.8203125,30196.169921875,30196.169921875,18700
2020-05-20,30159.58984375,30878.310546875,30157.75,30818.609375,30818.609375,16100
2020-05-21,30904.2890625,31188.7890625,30765.3203125,30932.900390625,30932.900390625,15500
2020-05-22,30822.779296875,31107.91015625,30474.880859375,30672.58984375,30672.58984375,20600
2020-05-26,30864.26953125,31086.69921875,30512.140625,30609.30078125,30609.30078125,188300
2020-05-27,30793.109375,31660.599609375,30525.6796875,31605.220703125,31605.220703125,20500
2020-05-28,31827.80078125,32267.23046875,31641.76953125,32200.58984375,32200.58984375,27500
2020-05-29,32041.2890625,32480.51953125,31823.80078125,32424.099609375,32424.099609375,37100
2020-06-01,32906.05078125,33673.828125,32876.55078125,33303.51953125,33303.51953125,22900
2020-06-02,33450.19140625,33866.62890625,33301.2890625,33825.53125,33825.53125,75600
2020-06-03,34185.41015625,34488.69140625,34027.5,34109.5390625,34109.5390625,18400
2020-06-04,34072.5,34310.140625,33711.23828125,33980.69921875,33980.69921875,17900
2020-06-05,34198.55078125,34405.4296875,33958.01953125,34287.23828125,34287.23828125,24600
2020-06-08,34841.171875,34927.80078125,34211.828125,34370.578125,34370.578125,25700
2020-06-09,34520.7890625,34811.2890625,33881.19140625,33956.69140625,33956.69140625,19200
2020-06-10,34029.140625,34350.171875,33949.4609375,34247.05078125,34247.05078125,15500
2020-06-11,34214.69140625,34219.390625,33480.421875,33538.37109375,33538.37109375,20900
2020-06-12,32436.689453125,33856.26953125,32348.099609375,33780.890625,33780.890625,23000
2020-06-15,33670.55078125,33670.55078125,32923.73828125,33228.80078125,33228.80078125,18400
2020-06-16,33853.71875,34022.01171875,32953.30078125,33605.21875,33605.21875,27400
2020-06-17,33438.30859375,33933.66015625,33332.9609375,33507.921875,33507.921875,20200
2020-06-18,33371.51953125,34276.01171875,33371.51953125,34208.05078125,34208.05078125,21200
2020-06-19,34335.37890625,34848.37109375,34136.390625,34731.73046875,34731.73046875,27900
2020-06-22,34892.03125,35213.51953125,34794.3984375,34911.3203125,34911.3203125,25100
2020-06-23,35015.73046875,35482.16015625,34843.69140625,35430.4296875,35430.4296875,25200
2020-06-24,35679.73828125,35706.55078125,34794.9296875,34868.98046875,34868.98046875,26600
2020-06-25,34525.390625,35081.609375,34499.78125,34842.1015625,34842.1015625,24600
2020-06-26,35144.78125,35254.87890625,34910.33984375,35171.26953125,35171.26953125,24800
2020-06-29,34926.94921875,35032.359375,34662.05859375,34961.51953125,34961.51953125,18300
2020-06-30,35168.30078125,35233.91015625,34812.80078125,34915.80078125,34915.80078125,18500
2020-07-01,35009.58984375,35467.23046875,34927.19921875,35414.44921875,35414.44921875,19400
2020-07-02,35604.0,36014.921875,35595.359375,35843.69921875,35843.69921875,20600
2020-07-03,36025.37890625,36110.2109375,35872.37890625,36021.421875,36021.421875,16500
2020-07-06,36313.4609375,36661.66015625,36254.01953125,36487.28125,36487.28125,22300
2020-07-07,36660.3515625,36723.26953125,36271.08984375,36674.51953125,36674.51953125,20600
2020-07-08,36738.37890625,36828.4296875,36234.171875,36329.01171875,36329.01171875,24800
2020-07-09,36450.69140625,36806.30078125,36422.30078125,36737.69140625,36737.69140625,17400
2020-07-10,36555.12890625,36748.890625,36401.109375,36594.328125,36594.328125,20900
2020-07-13,36880.66015625,37024.19921875,36533.9609375,36693.69140625,36693.69140625,16500
2020-07-14,36517.28125,36538.1015625,35877.421875,36033.05859375,36033.05859375,14100
2020-07-15,36314.76171875,36810.25,35894.9609375,36051.80859375,36051.80859375,23500
2020-07-16,36401.19921875,36524.62109375,36038.41015625,36471.6796875,36471.6796875,18500
2020-07-17,36547.75,37125.98046875,36512.921875,37020.140625,37020.140625,16500
2020-07-20,37409.03125,37478.87109375,37185.78125,37418.98828125,37418.98828125,20100
2020-07-21,37823.609375,37990.55078125,37742.05078125,37930.328125,37930.328125,22700
2020-07-22,38178.0703125,38199.26953125,37601.62109375,37871.51953125,37871.51953125,22300
2020-07-23,37814.921875,38225.03125,37738.58984375,38140.46875,38140.46875,19600
2020-07-24,37949.58984375,38235.73046875,37748.41015625,38128.8984375,38128.8984375,19900
2020-07-27,38275.33984375,38275.33984375,37769.44140625,37934.73046875,37934.73046875,18600
2020-07-28,38052.1796875,38554.71875,37998.12890625,38492.94921875,38492.94921875,15500
2020-07-29,38427.1484375,38617.03125,37884.41015625,38071.12890625,38071.12890625,17600
2020-07-30,38262.828125,38413.80859375,37678.421875,37736.0703125,37736.0703125,14800
2020-07-31,37847.87890625,37897.78125,37431.6796875,37606.890625,37606.890625,20200
2020-08-03,37595.73046875,37596.01953125,36911.23046875,36939.6015625,36939.6015625,14300
2020-08-04,37092.859375,37745.6015625,36987.73046875,37687.91015625,37687.91015625,15100
2020-08-05,37892.359375,38139.9609375,37550.6015625,37663.328125,37663.328125,19800
2020-08-06,37946.80078125,38221.3984375,37755.1015625,38025.44921875,38025.44921875,16600
2020-08-07,37951.0703125,38109.6796875,37787.37890625,38040.5703125,38040.5703125,15300
2020-08-10,38168.421875,38430.69140625,38073.2890625,38182.078125,38182.078125,17200
2020-08-11,38371.33984375,38556.26953125,38313.05859375,38407.01171875,38407.01171875,18700
2020-08-12,38321.12890625,38414.37109375,38125.80859375,38369.62890625,38369.62890625,25300
